No,Vendor,No2,Level,County,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb,Grand_Total,Percentage
114,BUNGOMA WEST HOSPITAL,114,P 5,BUNGOMA,2343719,3974433,1949957,1025255,3663476,631371,2909970,0,16498181,0
115,FAIRMONT HOSPITAL,115,P 3B,KISUMU,5103591,2518250,1007900,175000,2545900,672800,345000,0,12368441,0
119,CEDAR HOSPITAL,119,P 4,UASIN GISHU,2532271,3829750,1348440,636850,2473630,318570,3671116,0,14810627,0
122,Our Lady Of Mercy Mission Hospital,122,M 3B,NYAMIRA,10080,3480000,4049520,596800,6943920,245760,3094880,0,18420960,0
123,Machakos County Referral Hospital,123,G 4,MACHAKOS,215304,301320,3145485,3316420,1123110,10509250,12572346,0,31183235,0
124,Bishop Kioko Catholic Hospital,124,P 4,MACHAKOS,2124750,148640,2926705,1012900,1854490,3787290,4042450,0,15897225,0
130,MWEA MEDICAL CENTRE,130,P 4,KIRINYAGA,2247600,2859520,1910000,924240,3073520,84640,3148560,0,14248080,0
132,GARISSA LEVEL 5 TEACHING AND REFERRAL HOSPITAL,132,G 5,GARISSA,1975310,3349690,1459680,1078190,3646340,805720,6486480,0,18801410,0
133,St Joseph's Shelter of Hope,133,M 4,TAITA-TAVETA,1611890,1607715,2643820,1741020,246550,2549150,3484510,0,13884655,0
136,Lenmek Hospital,136,P 4,KISII,1996360,132760,3240410,2063700,356760,6197390,14070870,0,28058250,0
