Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-61487,006356OUR LADY OF MERCY MISSION HOSPITAL,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.2806559,36.0794189,Nakuru,Success,
CN-61533,000994ST. JOSEPH THE WORKER DISPENSARY KANGEMI,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.2731917,36.7433548,"Kangemi, Westlands, Nairobi",Success,
CN-61547,001119TARASAA CATHOLIC DISPENSARY,TANA RIVER,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.525833141625,39.418023580214,Tana River,Success,
CN-61573,017978ST.MARY\\'S MISSION HOSPITAL-BULIMBO,KAKAMEGA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.4349753,34.5079796,"Bulimbo, Kakamega",Success,
CN-61715,000442DIVINE MERCY KITHATU HEALTH CENTRE,MERU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.166838927273,37.764590845633,Meru,Success,
CN-61938,002060ST. JOSEPH THE WORKER DISPENSARY -N ENKARE,NAROK,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.257270424837,35.575800972424,Narok,Success,
CN-62387,016474F.S.J. NYAMIRANGA DIVINE MERCY HEALTH CENTRE,NYAMIRA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.640626239534,34.967387947932,Nyamira,Success,
CN-62518,002488ST. VINCENT DE PAULS HEALTH CENTRE,KISUMU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.173053648767,34.839859182104,Kisumu,Success,
CN-62603,001492IMMACULATE HEART HOSPITAL KEREITA,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.9923784,36.6371114,"Kereita, Kiambu",Success,
CN-63071,006777OUR LADY OF LOURDES MUTOMO HOSPITAL,KITUI,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-1.8479488,38.2078427,"Mutomo, Kitui",Success,
CN-63344,000835ST. CLAIRE DISPENSARY,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.3020422,36.0723128,Dispensary,Success,
CN-63641,000447TUURU COTTOLENGO HEALTH CENTRE,MERU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,0.166838927273,37.764590845633,Meru,Success,
