Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-30356,KERIO HOSPITAL LIMITED,BARINGO,PRIVATE,LEVEL 3A,0.4937027,35.742332,Kerio Hospital,Success,
CN-30371,MAMA MARIA CLINIC,MIGORI,PRIVATE,LEVEL 3B,-0.8471809,34.1848542,Clinic,Success,
CN-30406,CHEBON MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A,0.748950071987,34.640152743934,Bungoma,Success,
CN-30442,AL RAHMAN NURSING HOME LTD,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-30474,KILGOWEST MEDICAL AND DENTAL CLINIC,NAROK,PRIVATE,LEVEL 2,-1.257270424837,35.575800972424,Narok,Success,
CN-30494,HOPKINS MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 3A,-1.0363673,37.0724379,Prime Medical Centre,Success,
CN-30507,CHALIANA MEDICAL CENTRE,MOMBASA,PRIVATE,LEVEL 3B,-4.0574645,39.663945,Mombasa,Success,
CN-30508,K.P.A BANDARI STAFF CLINIC,MOMBASA,PRIVATE,LEVEL 3A,-4.0574645,39.663945,Mombasa,Success,
CN-30512,PRECISE DIAGNOSTIC IMAGING,NAIROBI,PRIVATE,LEVEL 3A,-1.2857857,36.8200253,Nairobi,Success,
CN-30543,TAHLIL WELLNESS CENTRE,MANDERA,PRIVATE,LEVEL 3A,3.370055804436,40.694029088396,Mandera,Success,
CN-30581,BURHAN NURSING HOME,NAIROBI,PRIVATE,LEVEL 4,-1.313721,36.8283941,South C Nursing Home,Success,
CN-30600,GEDIAN FAMILY HEALTHCARE,KISUMU,PRIVATE,LEVEL 2,-0.173053648767,34.839859182104,Kisumu,Success,
CN-30720,ITIBO CURECENTRE AND MATERNITY HOSPITAL LIMITED,KISII,PRIVATE,LEVEL 3A,-0.775814232663,34.777005852014,Kisii,Success,
CN-30722,SELACARE HEALTH SERVICES,NAIROBI,PRIVATE,LEVEL 4,-1.2843292,36.8210593,AAR Health Services,Success,
CN-30750,CLACE LA VARDE MEDICAL CLINIC,SAMBURU,PRIVATE,LEVEL 2,2.0959323,36.9183338,Clinic,Success,
CN-30763,NYABURI BETTER LIVING NURSING HOME-NAMBA LIMITED,MIGORI,PRIVATE,LEVEL 3A,-0.7229627,34.5955541,"Nyaburu, Migori",Success,
CN-30773,OPTEX OPTICIANS LIMITED - KISII,KISII,PRIVATE,LEVEL 2,-0.68174,34.76666,Kisii,Success,
CN-30787,EVENING MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2,0.748950071987,34.640152743934,Bungoma,Success,
CN-30801,INDEX MEDICAL SERVICES,NAIROBI,PRIVATE,LEVEL 3B,-1.2701309,36.8348377,Meco Medical Services,Success,
CN-30845,CHEPTIREET SPRINGS MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 2,0.3549383,35.3550177,"Cheptiret, Uasin Gishu",Success,
CN-30863,ALIF MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 2,-1.31244,36.79729,Medical Centre,Success,
CN-30870,NEEMA SATIMA MEDICAL CENTRE LIMITED,LAIKIPIA,PRIVATE,LEVEL 2,0.321036458859,36.76507926291,Laikipia,Success,
CN-30871,AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL LIMITED,NAROK,PRIVATE,LEVEL 3A,-1.257270424837,35.575800972424,Narok,Success,
CN-30901,EQUITY AFIA KITALE,TRANS-NZOIA,PRIVATE,LEVEL 3B,1.01572,35.00622,"Kitale, Trans Nzoia",Success,
CN-30924,ALFATAH MEDICAL CLINIC,TAITA-TAVETA,PRIVATE,LEVEL 3B,-3.436547605259,38.417882139111,Taita Taveta,Success,
CN-30963,MODERN ABERDARE VIEW HOSPITAL LIMITED,MURANGA,PRIVATE,LEVEL 4,-0.7180943,37.1589456,"Muranga, Murang'a",Success,
CN-30964,GREENWOOD COTTAGE COMMUNITY HOSPITAL LIMITED,THARAKA-NITHI,PRIVATE,LEVEL 3B,-0.206516213429,37.868692128983,Tharaka-Nithi,Success,
CN-30993,BUKAAN DEEQ NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 4,3.370055804436,40.694029088396,Mandera,Success,
CN-31011,JUJA ROAD MATERNITY HOSPITAL LIMITED- RUIRU,KIAMBU,PRIVATE,LEVEL 4B,-1.1480309,36.9605921,"Ruiru, Kiambu",Success,
CN-31038,IGORERA MEDICAL CLINIC,KISII,PRIVATE,LEVEL 3B,-0.820578,34.732977,Quiners Medical Clinic,Success,
CN-31041,NILE NURSING HOME LTD,NAIROBI,PRIVATE,LEVEL 3B,-1.313721,36.8283941,South C Nursing Home,Success,
CN-31056,MIGORI HEALTH STATION,MIGORI,PRIVATE,LEVEL 2,-1.0635852,34.4729174,Migori,Success,
CN-31084,NEPTUNE HEALTHCARE LTD,NYAMIRA,PRIVATE,LEVEL 3A,-0.640626239534,34.967387947932,Nyamira,Success,
CN-31112,BLISS HEALTHCARE LTD WOTE,MAKUENI,PRIVATE,LEVEL 3B,-1.7802424,37.6274808,"Wote, Makueni",Success,
CN-31153,HALCYON HEALTHCARE LIMITED,NAIROBI,PRIVATE,LEVEL 4B,-1.3049235,36.8324167,Beta Health Care Limited,Success,
CN-31205,BAYAAN NURSING HOME,WAJIR,PRIVATE,LEVEL 4,1.75504011033,40.017147679353,Wajir,Success,
CN-31222,ROMIEVA MEDICAL CENTRE LTD,KISII,PRIVATE,LEVEL 4,-0.775814232663,34.777005852014,Kisii,Success,
CN-31295,ABAKORE NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B,1.75504011033,40.017147679353,Wajir,Success,
CN-31299,KISII GALAXY MEDICARE CENTRE,KISII,PRIVATE,LEVEL 3B,-0.775814232663,34.777005852014,Kisii,Success,
CN-31364,FOUNTAIN HEALTHCARE LIMITED,UASIN GISHU,PRIVATE,LEVEL 5,0.5112091,35.2903394,Fountain Health Care Hospital,Success,
CN-31432,AMINA COMMUNITY HOSPITAL CENTRE LIMITED,TAITA-TAVETA,PRIVATE,LEVEL 3A,-3.436547605259,38.417882139111,Taita Taveta,Success,
CN-31443,AFYA BORA MEDICAL CLINIC MUTOMO,KITUI,PRIVATE,LEVEL 3B,-1.8479488,38.2078427,"Mutomo, Kitui",Success,
CN-31449,SHAFSHAFEY NURSING HOME,MANDERA,PRIVATE,LEVEL 3A,3.93617,41.76769,Shafshafe,Success,
CN-31523,LONDON MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 2,-0.2845127,36.0695371,Meridian Medical Centre,Success,
CN-31564,MANDERA WELLNESS CENTRE,MANDERA,PRIVATE,LEVEL 4,3.9369015,41.8595383,Mandera,Success,
CN-31574,TUMAINI MATERNITY &amp; NURSING HOME,MAKUENI,PRIVATE,LEVEL 3B,-2.160192128139,37.789123486634,Makueni,Success,
CN-31594,TIGONI TREATMENT & REHAB CENTER LTD,KIAMBU,PRIVATE,LEVEL 3A,-1.1672396,36.8255013,Kiambu,Success,
CN-31596,KAPSONGOI DISPENSARY,KERICHO,PRIVATE,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-31601,NGURUBANI MEDICAL SERVICES - GATEGI,EMBU,PRIVATE,LEVEL 3B,-0.75,37.5,"Gategi, Embu",Success,
CN-31623,RAVINE GLORY HOSPITAL LIMITED-MOGOTIO TOWN,BARINGO,PRIVATE,LEVEL 4,0.169852630589,35.98075185466,"Mogotio, Baringo",Success,
CN-31645,BAHATI HOSPITAL JOSKA BRANCH,MACHAKOS,PRIVATE,LEVEL 3B,-1.279605613208,37.413530961083,Machakos,Success,
CN-31646,THE GABANO HOSPITAL,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-31654,UJAMAA LIKONI NURSING HOME USENGE,SIAYA,PRIVATE,LEVEL 3B,-0.0669955,34.0579876,"Usenge, Siaya",Success,
CN-31731,HAWI GENTLE CARE DENTAL CLINIC LTD,KISUMU,PRIVATE,LEVEL 2,-0.173053648767,34.839859182104,Kisumu,Success,
CN-31732,DAY TO DAY NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B,3.370055804436,40.694029088396,Mandera,Success,
CN-31747,JUSON HOSPITAL -EKONA,KISII,PRIVATE,LEVEL 3A,-0.775814232663,34.777005852014,Kisii,Success,
CN-31756,BROOKS OF CHERITH MEDICAL AND NUTRITION CENTRE LIMITED NYANDARUA,NYANDARUA,PRIVATE,LEVEL 4,-0.5406177,36.6100659,Nyandarua,Success,
CN-31784,THE MODERN LIBERTY HOSPITAL LIMITED,KITUI,PRIVATE,LEVEL 3B,-1.493161090519,38.407478986946,Kitui,Success,
CN-31788,RAMATA NURSING HOME LTD,MARSABIT,PRIVATE,LEVEL 3B,3.59107,38.63221,"Ramata, Marsabit",Success,
CN-31793,NAMENYA CFW CLINIC,BUSIA,PRIVATE,LEVEL 2,0.1,33.96667,Namenya,Success,
CN-31878,ELDORET HOSPITAL-KERICHO BRANCH,KERICHO,PRIVATE,LEVEL 3A,-0.371206268499,35.280174515117,"Hospital Road, Kericho",Success,
CN-31879,WABERI HOSPITAL LTD,GARISSA,PRIVATE,LEVEL 3A,-0.4459246,39.652735,Garissa,Success,
CN-31903,THE GRAND MTWAPA HOSPITAL LTD,KILIFI,PRIVATE,LEVEL 3B,-3.946128,39.7450722,"Mtwapa, Kilifi",Success,
CN-31948,RUKUBI MEDICAL CARE,KIAMBU,PRIVATE,LEVEL 2,-1.2320215,36.70347,"Rukubi, Kabete, Kiambu",Success,
CN-31952,EQUITY AFIA LIMITED KIKUYU,KIAMBU,PRIVATE,LEVEL 3B,-1.2483129,36.6647816,"Kikuyu, Kiambu",Success,
CN-31975,LIZZY CLINICA HEALTHCARE,NAIROBI,PRIVATE,LEVEL 2,-1.2861836,36.8447974,Clinic,Success,
CN-31998,ETHIL MEDICAL SERVICES LIMITED,GARISSA,PRIVATE,LEVEL 3B,-0.4459246,39.652735,Garissa,Success,
CN-32010,PANAFRIC UNIVERSAL HOSPITAL LIMITED,KIAMBU,PRIVATE,LEVEL 3A,-1.1672396,36.8255013,Kiambu,Success,
CN-32103,ST.JOHN'S HOSPITAL LIMITED - JUJA,KIAMBU,PRIVATE,LEVEL 3B,-1.1893106,37.1163669,"Juja, Kiambu",Success,
CN-32121,WAJIR MEDICAL NURSING ZONE LIMITED,WAJIR,PRIVATE,LEVEL 3B,1.7471,40.05732,Wajir,Success,
CN-32140,JAMII CLINICAL SERVICES CLINIC,SIAYA,PRIVATE,LEVEL 2,-0.06564696176,34.248353736491,Siaya,Success,
CN-32183,THE ROYAL KINGS MEDICAL CENTER,BUSIA,PRIVATE,LEVEL 2,0.38569164205,34.193072581938,Busia,Success,
CN-32234,THIKA ROAD HEALTH SERVICES LTD,NAIROBI,PRIVATE,LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
