Application Number,Facility Name,County,Facility Type,Keph Level
CN-53733,EASTMARK MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 3B
CN-53738,SHINYALU HEALTHCARE LTD,KAKAMEGA,PRIVATE,LEVEL 3B
CN-53767,NAKAJA MEDICAL DIAGNOSTIC CENTRE LIMITED,BARINGO,PRIVATE,LEVEL 3A
CN-53795,NABUALA HOSPITAL,BUNGOMA,PRIVATE,LEVEL 4
CN-53796,SUNBEAM MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-53797,JULUN NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-53849,PARAMOUNT NURSING HOME,WAJIR,PRIVATE,LEVEL 3A
CN-53880,ST. JOHN \\'S DIVINE NURSING HOME NYERI,NYERI,PRIVATE,LEVEL 4
CN-53882,ST. ANDREWS MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 3A
CN-53893,LIPTON CENTRAL HOSPITAL-KOIWA,KERICHO,PRIVATE,LEVEL 2
CN-53902,GEMIFA MEDICAL AND NURSING HOME,SIAYA,PRIVATE,LEVEL 2
CN-53930,WANKAM MEDICAL CENTRE,KIAMBU,PRIVATE,LEVEL 2
CN-53941,FOOTHILLS MEDICAL CENTRE LIMITED,TANA RIVER,PRIVATE,LEVEL 3B
CN-53946,THE NAIROBI SOUTH HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 6A
CN-53958,ROYO HOSPITAL LTD,KAKAMEGA,PRIVATE,LEVEL 3B
CN-53980,PENDA MEDICAL CENTRE GITHURAI 45,KIAMBU,PRIVATE,LEVEL 3A
CN-54072,FIGO CARE PLUS(K) LIMITED,TRANS-NZOIA,PRIVATE,LEVEL 3B
CN-54094,MWATATE COMMUNITY HEALTH CARE,NAIROBI,PRIVATE,LEVEL 3A
CN-54130,FACILE -GLOBAL MEDICAL CLINIC,BOMET,PRIVATE,LEVEL 2
CN-54161,FRIENDS CHWELE MISSION DISPENSARY,BUNGOMA,PRIVATE,LEVEL 2
CN-54184,COLNEV MEDCARE LIMITED,KERICHO,PRIVATE,LEVEL 2
CN-54250,NEEMA HOSPITAL LTD ANNEX,KITUI,PRIVATE,LEVEL 4
CN-54252,FLEX-DENT DENTAL CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-54271,SPRINGS HERITAGE NURSING HOME,KIAMBU,PRIVATE,LEVEL 3B
CN-54301,TOPCARE NURSING HOME,KAJIADO,PRIVATE,LEVEL 4
CN-54310,STIRLING HEALTHCARE CONSULTANTS,BUSIA,PRIVATE,LEVEL 2
CN-54340,KARURUMO MEDICAL CENTRE LTD,EMBU,PRIVATE,LEVEL 3B
CN-54365,RANDBURG COMMUNITY HOSPITAL,KISUMU,PRIVATE,LEVEL 4
CN-54366,HAWI MEDICAL CENTRE NYATOTO,HOMA BAY,PRIVATE,LEVEL 3B
CN-54388,OAKWOOD HOSPITAL LIMITED,KIAMBU,PRIVATE,LEVEL 4
CN-54409,HALISI FAMILY HOSPITAL,KAJIADO,PRIVATE,LEVEL 4
CN-54416,MBITINI REHEMA COMMUNITY HOSPITAL,KITUI,PRIVATE,LEVEL 3A
CN-54456,YUNASI MEDICAL CENTRE,EMBU,PRIVATE,LEVEL 3A
CN-54480,MELODIUS MEDICAL CENTRE NYAMAIYA,NYAMIRA,PRIVATE,LEVEL 2
CN-54550,KIMATHI MEDICAL SERVICES - MAIN HOSPITAL,KIRINYAGA,PRIVATE,LEVEL 4
CN-54643,BERISAMAAT MEDICAL CENTRE,GARISSA,PRIVATE,LEVEL 3A
CN-54685,THE AGA KHAN HOSPITAL MOMBASA,MOMBASA,PRIVATE,LEVEL 5
CN-54740,EYE RISE MEDICAL CENTRE,WAJIR,PRIVATE,LEVEL 3A
CN-54760,EBENEZER MEDICAL CENTRE BRIGADIA,BUNGOMA,PRIVATE,LEVEL 3B
CN-54761,SKIN HUB CLINIC LIMITED,NYERI,PRIVATE,LEVEL 2
CN-54884,STAFAM MEDICARE CLINIC & LABORATORY,KAJIADO,PRIVATE,LEVEL 2
CN-54904,ST.THOMAS MATERNITY HOSPITAL -FERRY BRANCH,MOMBASA,PRIVATE,LEVEL 3B
CN-54933,QUEENTERIC MEDICAL KISUMU,KISUMU,PRIVATE,LEVEL 2
CN-54952,SAFARI DOCTORS MEDICAL CENTRE,LAMU,PRIVATE,LEVEL 2
CN-55005,DOMAO LIFELINE MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3A
CN-55038,QARNAIN MEDICARE AND HEALTH SERVICE LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-55043,GUCHA COTTAGE MATERNITY & NURSING HOME LTD,KISII,PRIVATE,LEVEL 4
CN-55055,AFYAHUB MEDICAL CENTER LTD,NAIROBI,PRIVATE,LEVEL 3A
CN-55063,HOPELIFT MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-55098,BETHESDA NURSING HOME KARAGITA,NAKURU,PRIVATE,LEVEL 3A
CN-55107,PROGRESS MEDICAL SERVICES,KIRINYAGA,PRIVATE,LEVEL 2
CN-55122,MEMRET CLINIC,MERU,PRIVATE,LEVEL 2
CN-55132,TUMAINI GONGONI MEDICAL SERVICES,KILIFI,PRIVATE,LEVEL 2
CN-55185,CESS MEDICAL CENTER,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-55295,AMANSAN HOSPITAL LIMITED,GARISSA,PRIVATE,LEVEL 3B
CN-55297,ELIANE ROYAL HOSPITAL LIMITED,BUNGOMA,PRIVATE,LEVEL 3A
CN-55356,NJIPSHIP HILLVIEW MEDICAL CENTRE,NAROK,PRIVATE,LEVEL 3B
CN-55361,MUTEITHANIA NURSING AND MATERNITY HOME,NAIROBI,PRIVATE,LEVEL 3A
CN-55406,SOUTHHERBS NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-55413,MOTHER ELIZABETH MUGUNDA DISPENSARY,NYERI,PRIVATE,LEVEL 2
CN-55508,SMART HEALTHCARE MAAI MAHIU,NAKURU,PRIVATE,LEVEL 3B
CN-55554,JAMBO KIDNEY CARE LIMITED,NAKURU,PRIVATE,LEVEL 4B
CN-55555,RHENO MEDICARE CLINIC,NANDI,PRIVATE,LEVEL 2
CN-55565,NEEMA TUNZA MEDICAL CLINIC,TRANS-NZOIA,PRIVATE,LEVEL 2
CN-55692,RFH HEALTHCARE-RUIRU,KIAMBU,PRIVATE,LEVEL 4
CN-55706,EXCEL WELLNESS CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-55718,THE RETREAT LIMITED,KIAMBU,PRIVATE,LEVEL 3B
CN-55812,QUEENSPARK MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3B
CN-55864,SONGOT MEDICAL CENTER LIMITED,TURKANA,PRIVATE,LEVEL 3A
CN-55865,BESHARA STREET NURSING HOME,MARSABIT,PRIVATE,LEVEL 3B
CN-55897,TIMAU INTEGRATED MEDICAL CENTRE,MERU,PRIVATE,LEVEL 3A
CN-55972,ST.CORNELS MEDICAL CENTRE LIMITED,KWALE,PRIVATE,LEVEL 3B
CN-56048,AL-MUNTAHA HOSPITAL LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-56159,DANLINK HEALTH CARE,MERU,PRIVATE,LEVEL 3B
CN-56161,NKARINI DIAGNOSTIC MEDICAL CENTRE,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-56202,CHEPSEON HEALTH SERVICES,KERICHO,PRIVATE,LEVEL 2
CN-56213,RENICE FAMILY MEDICAL SERVICES,MACHAKOS,PRIVATE,LEVEL 2
CN-56235,SKOVIC HEALTHCARE KIPSIKIROK,BUNGOMA,PRIVATE,LEVEL 3B
CN-56239,ARISE HOSPITAL,KIAMBU,PRIVATE,LEVEL 3B
CN-56241,CRYSTAL COTTAGE HOSPITAL &amp; MEDICAL CLINIC LTD-TOWN CLINIC,TRANS-NZOIA,PRIVATE,LEVEL 3A
CN-56280,KIBUMBU CFW CLINIC,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-56292,VIENNA MEDICAL SERVICES,KAKAMEGA,PRIVATE,LEVEL 3A
CN-56297,FHOK- FAMILYCARE MEDICAL MEDICAL CENTRE-KAKAMEGA,KAKAMEGA,PRIVATE,LEVEL 2
CN-56367,SHUBWARABE NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-56434,EDELPERT MEDICAL CENTRE,MAKUENI,PRIVATE,LEVEL 3A
CN-56540,TEITA ESTATE LTD MEDICAL CLINIC,TAITA-TAVETA,PRIVATE,LEVEL 2
CN-56562,STAMAX MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3A
CN-56618,SHAAFICI NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-56635,EMALI HEALTH SERVICES,MAKUENI,PRIVATE,LEVEL 2
CN-56673,TIA CLINICS,NAIROBI,PRIVATE,LEVEL 2
CN-56700,WALDENSIAN CLINIC,KITUI,PRIVATE,LEVEL 2
CN-56727,MEDICA FAMILY HOSPITAL,NAIROBI,PRIVATE,LEVEL 3B
CN-56736,GARLANDS MEDICAL CENTRE,KAJIADO,PRIVATE,LEVEL 3B
CN-56742,STRETCH OUT VICTORY HEALTH CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-56746,GALAXY HOSPITAL-ARCHERS POST,ISIOLO,PRIVATE,LEVEL 3B
CN-56781,TEXAS CANCER CENTRE NAIROBI WEST,NAIROBI,PRIVATE,LEVEL 4
CN-56856,DANTEZ MEDICAL CENTRE,MACHAKOS,PRIVATE,LEVEL 2
CN-56868,OASIS NTUNYIGI HOSPITAL,MIGORI,PRIVATE,LEVEL 4
CN-56877,WELLWAY MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 3A
CN-56936,MATUNDA MATERNITY HOME,TRANS-NZOIA,PRIVATE,LEVEL 3B
CN-56965,PHADAM HOSPITAL COMPANY LTD - NASRA,NAIROBI,PRIVATE,LEVEL 4
CN-56984,RELIANCE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 5
CN-57109,WEST END MEDICAL SERVICES,MERU,PRIVATE,LEVEL 2
CN-57116,WELLNESS HEALTH SERVICES MACHAKOS,MACHAKOS,PRIVATE,LEVEL 2
CN-57190,ESERIAN FAMILY HOSPITAL,NAROK,PRIVATE,LEVEL 3B
CN-57194,DANID CARE SERVICES,KISUMU,PRIVATE,LEVEL 3B
CN-57238,FOKAS HOSPITAL KUTULO LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-57260,ACCESS AFYA KIAMBIU,NAIROBI,PRIVATE,LEVEL 2
CN-57354,COUNT MEDICAL AND DIAGNOSTIC LIMITED,GARISSA,PRIVATE,LEVEL 4
CN-57384,ZAMZAM NURSING HOME RHAMU LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-57409,NUU MEDICARE CENTRE,KITUI,PRIVATE,LEVEL 3A
CN-57446,RADIANT GROUP OF HOSPITALS KASARANI SPORTSVIEW,NAIROBI,PRIVATE,LEVEL 4
CN-57480,TANA WELLNESS CENTRE LIMITED,TANA RIVER,PRIVATE,LEVEL 4
CN-57520,MUTHAIGA SQUARE CLINIC LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-57568,DARIQA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-57620,DADAAB MEDICAL CENTRE LIMITED,GARISSA,PRIVATE,LEVEL 3B
CN-57699,IKUTHA MEDICARE CLINIC,KITUI,PRIVATE,LEVEL 3B
CN-57792,GRASSROOT COMMUNITY HEALTHCARE LIMITED,BUNGOMA,PRIVATE,LEVEL 3A
CN-57842,JEPE MEDICAL CLINIC,TURKANA,PRIVATE,LEVEL 2
CN-57872,KARUMANDI MEDICAL CENTRE,KIRINYAGA,PRIVATE,LEVEL 3A
CN-57905,LIPTON CENTRAL HOSPITAL,KERICHO,PRIVATE,LEVEL 4
CN-57939,HOMEPEARL MEDICAL CLINIC,SIAYA,PRIVATE,LEVEL 3B
CN-57947,ANGELLIFE MEDICAL CLINIC LIMITED,KIRINYAGA,PRIVATE,LEVEL 2
CN-57957,MEDINA MEDICARE HOSPITAL LIMITED- HOLA,TANA RIVER,PRIVATE,LEVEL 4
CN-57999,BELGOROD MEDICARE LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-58066,JOVIED MEDICAL CLINIC,KERICHO,PRIVATE,LEVEL 2
CN-58079,KATITO MEDICAL CENTRE,KISUMU,PRIVATE,LEVEL 3A
CN-58087,ST MARK JUST HOSPITAL MULOT LIMITED,BOMET,PRIVATE,LEVEL 3A
CN-58090,CHEBUNYO HIGHWAY MEDICAL CENTRE,BOMET,PRIVATE,LEVEL 3A
CN-58092,JOSMA HEALTH SERVICES LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-58098,VITALRAY HEALTH SOLUTIONS LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-58117,ORIZON MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 2
CN-58160,LONDIANI WEST ENGEDI MEDICAL CENTRE,KERICHO,PRIVATE,LEVEL 3B
CN-58187,KENYENYA MEDICAL AND DIAGNOSTIC CENTRE,KISII,PRIVATE,LEVEL 3A
CN-58189,PENDA MEDICAL CENTRE -EMBAKASI,NAIROBI,PRIVATE,LEVEL 3A
CN-58209,ARROW DENTAL LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-58244,CITY POINT MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-58275,DIANI BEACH HOSPITAL,KWALE,PRIVATE,LEVEL 5
CN-58279,REVIVAL HOME BASED CARE CLINIC,NAIROBI,PRIVATE,LEVEL 3B
CN-58315,CLEVERLAND COTTAGE HOSPITAL AND MATERNITY LTD,NAIROBI,PRIVATE,LEVEL 2
CN-58321,KOJWACH MEDICAL CENTRE LTD,HOMA BAY,PRIVATE,LEVEL 3A
CN-58336,MEDICARE HEALTH-SATELLITE,NYAMIRA,PRIVATE,LEVEL 3A
CN-58357,MOMBASA BREEZE HOSPITAL(MBH) LIMITED,MOMBASA,PRIVATE,LEVEL 4
CN-58379,ST.LUCIA HEALTH CLINIC,KIAMBU,PRIVATE,LEVEL 2
CN-58429,LADOPHARMA NURSING HOME-RONGO LIMITED,MIGORI,PRIVATE,LEVEL 3B
CN-58494,AFYA INTERNATIONAL HOSPITAL,KILIFI,PRIVATE,LEVEL 4
CN-58659,KAPTONO MEDICAL CLINIC,UASIN GISHU,PRIVATE,LEVEL 2
CN-58748,MOYALE NURSING HOME,MARSABIT,PRIVATE,LEVEL 4
CN-58822,MARAH HOSPITAL,KIAMBU,PRIVATE,LEVEL 4
CN-58859,THE NAIROBI FAMILY HOSPITAL AND CLINICS- KISII,KISII,PRIVATE,LEVEL 4
CN-58911,QUEENS &amp; KINGS HEALTH CENTRE,EMBU,PRIVATE,LEVEL 3B
CN-58926,PESI MEDICAL CENTRE,BUSIA,PRIVATE,LEVEL 3B
CN-58977,NIKEA MMT HEALTH CENTRE LIMITED,KISUMU,PRIVATE,LEVEL 2
CN-59033,MERIDIAN GALANA HOSPITAL,KILIFI,PRIVATE,LEVEL 3A
CN-59049,BULSHO HEALTHCARE LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-59061,AL-BASRAH HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4
CN-59067,ASEGO AFYA HEALTH MEDICAL LIMITED,HOMA BAY,PRIVATE,LEVEL 3B
CN-59097,NDONYO HEALTHCARE-KWA MUHIA,NAKURU,PRIVATE,LEVEL 4
CN-59102,PALMA MEDICAL CENTER LIMITED,KISUMU,PRIVATE,LEVEL 3B
CN-59114,SAMAAD HOSPITAL,WAJIR,PRIVATE,LEVEL 4
CN-59149,EQUITY AFIA NAIVASHA MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3B
CN-59211,FOCUS CLINICAL AND DIAGNOSTIC CENTRE LTD ISHIARA,EMBU,PRIVATE,LEVEL 3A
CN-59222,AFEY HILLOW NURSING HOME LIMITED,GARISSA,PRIVATE,LEVEL 3A
CN-59239,CANNAN HOSPITAL &amp; WELLNESS CENTRE LIMITED,KERICHO,PRIVATE,LEVEL 3B
CN-59240,HABIB NURSING HOME,GARISSA,PRIVATE,LEVEL 3A
CN-59255,MACHAKOS DOCTORS PLAZA - MATUU,MACHAKOS,PRIVATE,LEVEL 3B
CN-59303,AKEMO MEDICAL CLINICAL AND PHARMACY,MOMBASA,PRIVATE,LEVEL 2
CN-59310,METROPOLITAN HOSPITAL,NAIROBI,PRIVATE,LEVEL 5
CN-59314,GUDA NURSING HOME,TANA RIVER,PRIVATE,LEVEL 3A
CN-59335,THE THIKA SAM\\'S HOSPITAL(ANNEX) LTD,KIAMBU,PRIVATE,LEVEL 4
CN-59409,HEMA HOSPITAL,KISII,PRIVATE,LEVEL 4
CN-59544,ZEVA MEDICAL CENTRE,KISII,PRIVATE,LEVEL 3A
CN-59546,LIANAS MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-59589,GOROFANI MEDICAL CLINIC,MOMBASA,PRIVATE,LEVEL 2
CN-59619,BARIKA MEDICAL CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-59626,TEXASCOLES MEDICAL CENTRE-CHEBOLE,BOMET,PRIVATE,LEVEL 3A
CN-59631,IVYCARE HOSPITAL LIMITED,NAIROBI,PRIVATE,LEVEL 2
CN-59633,FIRST SIGHT OPTICIANS LTD,NAIROBI,PRIVATE,LEVEL 2
CN-59712,PALMCARE SINAI HOSPITAL,UASIN GISHU,PRIVATE,LEVEL 4
CN-59737,RIOSIRI CENTRE CLINIC,MIGORI,PRIVATE,LEVEL 2
CN-59787,NAIDU HOSPITAL LTD,KIAMBU,PRIVATE,LEVEL 4
CN-59908,REYSANE MEDICAL CENTRE,WAJIR,PRIVATE,LEVEL 3B
CN-59971,MAINLAND HEALTH CENTRE MAGONGO,MOMBASA,PRIVATE,LEVEL 3A
CN-59986,MINTO FAMILY HEALTHCARE SERVICES,KISII,PRIVATE,LEVEL 3B
CN-60002,WOODLANDS HOSPITAL LTD MERU,MERU,PRIVATE,LEVEL 4
CN-60005,MARBLE HEALTHCARE LTD,KISII,PRIVATE,LEVEL 3B
CN-60045,SPACE CARE MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 2
CN-60112,REALE HOSPITAL LIMITED-LANGATA,NAIROBI,PRIVATE,LEVEL 3A
CN-60120,BURA CARE AND CURE MEDICAL CENTRE,TANA RIVER,PRIVATE,LEVEL 2
CN-60124,ST. ELIZABETH SWINDON CLINIC,HOMA BAY,PRIVATE,LEVEL 3A
CN-60181,LIBKEN MEDICAL CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-60201,TENDUET DISPENSARY,KERICHO,PRIVATE,LEVEL 2
CN-60246,MACHAKOS IMAGING CENTRE LIMITED-THIKA,KIAMBU,PRIVATE,LEVEL 4B
CN-60279,PRIMEWAYS MEDICAL CENTER LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-60331,SADIK MED CARE,SIAYA,PRIVATE,LEVEL 3B
CN-60370,SYNERGY CLINICS - UGUNJA,SIAYA,PRIVATE,LEVEL 3A
CN-60376,HOPE HARTSHILL CLINIC,HOMA BAY,PRIVATE,LEVEL 3A
CN-60379,NYAMIRA JAMII MEDICAL &amp; DIAGNOSTIC CENTRE,NYAMIRA,PRIVATE,LEVEL 3B
CN-60400,BOMU HOSPITAL,MOMBASA,PRIVATE,LEVEL 4
CN-60401,JOKWERIN COMMUNITY NURSING HOME,SIAYA,PRIVATE,LEVEL 3B
CN-60430,THE QUEENSMED HOSPITAL,NYERI,PRIVATE,LEVEL 3B
CN-60438,FAWZ HOSPITAL LIMITED,SAMBURU,PRIVATE,LEVEL 3B
CN-60470,THE PRAMUKH HOSPITAL LIMITED,BUNGOMA,PRIVATE,LEVEL 3A
CN-60480,GOT-ADE NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-60524,ABRAAR HOSPITAL LIMITED,GARISSA,PRIVATE,LEVEL 3A
CN-60553,EAGLE HEALTH AND CLINIC SERVICES KIBERA BRANCH,NAIROBI,PRIVATE,LEVEL 3B
CN-60609,ASIIMIRE EAR NOSE THROAT AND AUDIOLOGY MEDICAL SERVICES,KAJIADO,PRIVATE,LEVEL 2
CN-60633,KAMBIRI FIRST CHOICE MEDICAL CENTRE,KAKAMEGA,PRIVATE,LEVEL 2
CN-60634,RAVINE SPECIALISTS HOSPITAL LIMITED,BARINGO,PRIVATE,LEVEL 4
CN-60650,MUMBUNI MATERNITY AND NURSING HOME,KITUI,PRIVATE,LEVEL 3B
CN-60664,"TIONYBEI MEDICAL CLINIC, MARIGAT",BARINGO,PRIVATE,LEVEL 2
CN-60673,GREENVIEW NURSING HOME,KERICHO,PRIVATE,LEVEL 4
CN-60692,RASSH MEDICAL CLINIC,BUNGOMA,PRIVATE,LEVEL 2
CN-60759,BLISS HEALTHCARE LTD BUSIA,BUSIA,PRIVATE,LEVEL 3A
CN-60795,KITENGELA STAR OF THE SEA MEDICAL SERVICES,KAJIADO,PRIVATE,LEVEL 3B
CN-60817,ASHBURN COMMUNITY NURSING HOME,SIAYA,PRIVATE,LEVEL 3B
CN-60944,THE MARKWELL MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-60949,JERIAN HEALTH CARE,HOMA BAY,PRIVATE,LEVEL 3A
CN-61030,KALAMAAN MEDICAL CENTER,WAJIR,PRIVATE,LEVEL 3B
CN-61031,CHOKAA MEDICAL CENTRE LTD,NAIROBI,PRIVATE,LEVEL 2
CN-61060,BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,NANDI,PRIVATE,LEVEL 4
CN-61075,JAMBO HEALTHCARE LIMITED,MOMBASA,PRIVATE,LEVEL 3A
CN-61079,HURUMA NELLY MEDICARE CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-61127,FAMILIA BORA MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-61133,TORIC\\'S NURSING HOME,HOMA BAY,PRIVATE,LEVEL 4
CN-61196,HOLANI MEDICAL CENTRE AND NURSING HOME,KILIFI,PRIVATE,LEVEL 3B
CN-61233,LIFENEST COMMUNITY MEDICAL CENTRE,HOMA BAY,PRIVATE,LEVEL 3A
CN-61235,VICOPTIC EYE CLINIC LIMITED-MWEA BRANCH,KIRINYAGA,PRIVATE,LEVEL 2
CN-61269,FIGO CARE PLUS (K) LIMITED UPPER HILL,NAIROBI,PRIVATE,LEVEL 3B
CN-61302,MISSION CARE HOSPITAL KITENGELA LIMITED,KAJIADO,PRIVATE,LEVEL 4
CN-61311,CUREPARK MODERN HOSPITAL LIMITED,KIAMBU,PRIVATE,LEVEL 3B
CN-61333,CHEBWAI SDA RURAL HEATH CENTRE,KAKAMEGA,PRIVATE,LEVEL 2
CN-61343,DANYA MEDICAL CENTRE LIMITED,NYAMIRA,PRIVATE,LEVEL 3A
CN-61361,AL-NAS NURSING HOME,MANDERA,PRIVATE,LEVEL 3B
CN-61371,CHEST AND SKIN CLINIC,EMBU,PRIVATE,LEVEL 3B
CN-61376,MOTHER OF PEACE AMANI HEALTH CARE,MOMBASA,PRIVATE,LEVEL 3A
CN-61381,MEDLIFE HEALTHCARE LIMITED,KIRINYAGA,PRIVATE,LEVEL 3A
CN-61416,THIKA SAM\\'S NURSING HOME LIMITED,KIAMBU,PRIVATE,LEVEL 3B
CN-61446,GLORY STAR MEDICAL CENTER LIMITED,MERU,PRIVATE,LEVEL 3A
CN-61542,FAMZAHRA MATERNITY LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-61560,JOLIFE HEALTHCARE LIMITED,UASIN GISHU,PRIVATE,LEVEL 3B
CN-61563,CAPITALCARE MEDICAL CENTRE LTD,KAKAMEGA,PRIVATE,LEVEL 3A
CN-61600,FOREALTORS HOSPITAL LTD,EMBU,PRIVATE,LEVEL 2
CN-61643,NEWHOPE NURSING HOME,KISII,PRIVATE,LEVEL 3B
CN-61676,NACOHAG MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 2
CN-61680,JERUSALEM MEDICAL CENTRE LTD,BUNGOMA,PRIVATE,LEVEL 3B
CN-61683,PHADAM HOSPITAL COMPANY LTD,NAIROBI,PRIVATE,LEVEL 3A
CN-61725,ST.PATRICKS NURSING HOME-NARUMORU,NYERI,PRIVATE,LEVEL 3B
CN-61752,AFRAHA MATERNITY AND NURSING HOME,NAKURU,PRIVATE,LEVEL 3B
CN-61818,JADUONG\\' FANUEL ONYANGO AGUMBA MEMORIAL HOSPITAL,KISUMU,PRIVATE,LEVEL 4
CN-61883,EQUITY AFIA IMARA DAIMA,NAIROBI,PRIVATE,LEVEL 3A
CN-61964,ST LUCIA MEDICAL CENTRE BUOYE,KISUMU,PRIVATE,LEVEL 4
CN-61983,NAKURU HEART CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-61990,SOMAAL NURSING HOME,WAJIR,PRIVATE,LEVEL 3B
CN-62017,WAJIR FOKAS NURSING HOME,WAJIR,PRIVATE,LEVEL 4
CN-62039,ELDAMA RAVINE NURSING HOME,BARINGO,PRIVATE,LEVEL 4
CN-62079,EQUITY AFIA EASTLEIGH,NAIROBI,PRIVATE,LEVEL 3A
CN-62094,MUGA MED CENTRE,THARAKA-NITHI,PRIVATE,LEVEL 2
CN-62156,THE SHAMZ DENTAL CLINIC LIMITED,MANDERA,PRIVATE,LEVEL 2
CN-62175,MERCYLITE HOSPITAL LTD,KIAMBU,PRIVATE,LEVEL 3B
CN-62218,MUTUKANIO HOSPITAL,NAKURU,PRIVATE,LEVEL 2
CN-62228,KHALABA MEDICAL SERVICES,BUNGOMA,PRIVATE,LEVEL 4
CN-62243,OYUGIS WEST GATE HEALTH CENTRE,HOMA BAY,PRIVATE,LEVEL 2
CN-62254,REALE HOSPITAL CLINIC KABARNET,BARINGO,PRIVATE,LEVEL 2
CN-62324,THE TALA HOSPITAL LIMITED,MACHAKOS,PRIVATE,LEVEL 3B
CN-62349,BROOKS OF CHERITH MEDICAL AND NUTRITION CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 4
CN-62366,MERU DOCTORS PLAZA LIMITED,MERU,PRIVATE,LEVEL 4
CN-62417,THE LAARE NURSING HOME AND MATERNITY,MERU,PRIVATE,LEVEL 3B
CN-62462,THE MAZIRA MEMORIAL HOSPITAL LIMITED,VIHIGA,PRIVATE,LEVEL 3A
CN-62496,ROYALMED MEDICAL CLINIC,KIAMBU,PRIVATE,LEVEL 3A
CN-62536,KENTAP MEDICAL CENTER,MACHAKOS,PRIVATE,LEVEL 2
CN-62557,WAONDO MEDICAL CLINIC,HOMA BAY,PRIVATE,LEVEL 2
CN-62590,RENASSANCES INTERNATIONAL LIMITED,LAIKIPIA,PRIVATE,LEVEL 3B
CN-62646,MENORAH MEDICAL INSTITUTE K LIMITED,MAKUENI,PRIVATE,LEVEL 3B
CN-62697,GALAXY HOSPITAL ANNEX-ISIOLO,ISIOLO,PRIVATE,LEVEL 4
CN-62709,MAJABU MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-62738,SAMORA MEDICAL CENTRE,NYAMIRA,PRIVATE,LEVEL 2
CN-62779,EVANS HEALTHCARE CLINIC LTD,HOMA BAY,PRIVATE,LEVEL 4
CN-62938,VIHIGA DRUG MART AND MEDICAL CENTRE LTD,VIHIGA,PRIVATE,LEVEL 2
CN-62947,THE NAIROBI WEST HOSPITAL - RUIRU,KIAMBU,PRIVATE,LEVEL 4
CN-62955,THE KITUI ROYAL DIAGNOSTIC CENTER LIMITED,KITUI,PRIVATE,LEVEL 3B
