Application Number,Facility Name,County,Facility Type,Keph Level
CN-36223,MUNACARE MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-36231,TRINITY CARE CENTRE - NGONG TOWN,KAJIADO,PRIVATE,LEVEL 3B
CN-36239,SANOPTICS EYE CARE CLINIC,SAMBURU,PRIVATE,LEVEL 2
CN-36291,NAMO HOSPITAL LIMITED,TURKANA,PRIVATE,LEVEL 4
CN-36311,GOOD-PROMISE MEDICAL AND MATERNITY CENTRE,LAIKIPIA,PRIVATE,LEVEL 3A
CN-36379,KHOROF HARAR NURSING HOME LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-36477,TABSAM MEDICAL CENTRE LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-36524,KAHURO COMMUNITY HEALTH CLINIC,MURANGA,PRIVATE,LEVEL 2
CN-36556,DANDORA II HEALTH CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-36629,CUSTOM MEDICAL CENTER,MANDERA,PRIVATE,LEVEL 4
CN-36631,CHEPSOO MEDICAL CENTRE LIMITED,NANDI,PRIVATE,LEVEL 3A
CN-36653,UNCLE MORRY COMMUNITY MEDICAL CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-36688,MARIAKANI COMMUNITY HEALTHCARE SERVICES.,KILIFI,PRIVATE,LEVEL 3B
CN-36705,ALIBRAR MEDICAL CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3A
CN-36709,ST. LAWRENCE HOSPITAL RANGWE,HOMA BAY,PRIVATE,LEVEL 4
CN-36717,KAGER MEDICAL AMBASSADORS MISSION DISPENSARY,HOMA BAY,PRIVATE,LEVEL 2
CN-36740,AMANE COTTAGE HOSPITAL,BUSIA,PRIVATE,LEVEL 3B
CN-36741,SHAFFI HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 3B
CN-36752,ACCESS AFYA KENYA LIMITED BABA DOGO CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-36836,ATHICHEM MODERN MEDICAL CENTRE LIMITED,MACHAKOS,PRIVATE,LEVEL 3A
CN-36848,WELLSTAR HEALTHCARE SYSTEMS LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-36927,TRINITY CARE CENTRE LTD,KAJIADO,PRIVATE,LEVEL 4
CN-36943,MSAMWEMA MEDICAL CENTRE,MIGORI,PRIVATE,LEVEL 2
CN-36944,ALLIANCE MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 4
CN-36978,RIMAKEBO MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-37003,LIFESCOPE MEDICAL CENTER LIMITED,MIGORI,PRIVATE,LEVEL 2
CN-37032,EQUITY AFIA NAKURU MEDICAL CENTRE,NAKURU,PRIVATE,LEVEL 3A
CN-37033,BULA AFYA NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3A
CN-37077,FAIRY CLINIC HADITHI PLANTS LTD,KIAMBU,PRIVATE,LEVEL 2
CN-37082,KITUI DENTAL CLINIC,KITUI,PRIVATE,LEVEL 2
CN-37100,TOWNSHIP COTTAGE HOSPITAL LIMITED,MARSABIT,PRIVATE,LEVEL 4
