Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-89853,KIPLOMBE MEDICAL CENTRE,UASIN GISHU,COUNTY GOVERNMENT,LEVEL 3B,0.5830077,35.2621545,"Kiplombe, Uasin Gishu",Success,
CN-89854,MIENDO HEALTH CENTRE,BUNGOMA,COUNTY GOVERNMENT,LEVEL 3A,0.734403,34.5775074,Health Centre,Success,
CN-89871,SIFUYO HEALTH CENTRE,SIAYA,COUNTY GOVERNMENT,LEVEL 3A,0.1513462,34.1269605,Sifuyo Health Center,Success,
CN-89973,KILIBWONI HEALTH CENTRE,NANDI,COUNTY GOVERNMENT,LEVEL 2,0.2076549,35.2290925,"Kilibwoni, Nandi",Success,
CN-90039,KIAMURINGA DISPENSARY,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.5674582,37.5370845,"Kiamuringa, Embu",Success,
CN-90064,AKWICHATIS HEALTH CENTRE,BARINGO,COUNTY GOVERNMENT,LEVEL 2,0.4722778,35.9861309,Health Centre,Success,
CN-90101,LUPIDA HEALTH CENTRE,BUSIA,COUNTY GOVERNMENT,LEVEL 3A,0.5,34.33333,"Lupida, Busia",Success,
CN-90112,NJEGAS HEALTH CENTRE,KIRINYAGA,COUNTY GOVERNMENT,LEVEL 3B,-0.6307349,37.359998,Health Centre,Success,
CN-90129,MBUUNI DISPENSARY,MACHAKOS,COUNTY GOVERNMENT,LEVEL 2,-1.3396503,37.3130462,Dispensary,Success,
CN-90192,KIAMBERE DAM DISPENSARY,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.6944865,37.792385,"Kiambere, Embu",Success,
CN-90235,KATHIANI SUB-COUNTY HOSPITAL,MACHAKOS,COUNTY GOVERNMENT,LEVEL 4,-1.416321471,37.29846703,"Kathiani, Machakos",Success,
CN-90249,KIRITIRI HEALTH CENTRE,EMBU,COUNTY GOVERNMENT,LEVEL 3A,-0.4254473,37.641347,Health Centre,Success,
CN-90267,KIHUMBU-INI DISPENSARY,MURANGA,COUNTY GOVERNMENT,LEVEL 2,-0.93333,36.98333,"Kihumbuini, Murang'A",Success,
CN-90268,KAPSOGUT DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-90293,IGWAMITI DISPENSARY,NAKURU,COUNTY GOVERNMENT,LEVEL 2,-0.3020422,36.0723128,Dispensary,Success,
CN-90323,ASUMBI GIRLS MEDICAL CLINIC,HOMA BAY,COUNTY GOVERNMENT,LEVEL 3A,-0.7250456,34.3717652,Clinic,Success,
CN-90390,HULLOW DISPENSARY,MANDERA,COUNTY GOVERNMENT,LEVEL 2,2.8057895,40.9451382,Dispensary,Success,
CN-90407,CHELILIS DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-90449,TAKITECH DISPENSARY,NAROK,COUNTY GOVERNMENT,LEVEL 2,-1.3979141,36.1167248,Dispensary,Success,
CN-90469,CHEPKOIYO DISPENSARY,NANDI,COUNTY GOVERNMENT,LEVEL 2,0.38333,35.08333,"Chepkoiyo, Nandi",Success,
CN-90500,MBUKUNI DISPENSARY,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-90517,MBWAJUMWALI DISPENSARY,LAMU,COUNTY GOVERNMENT,LEVEL 2,-2.076749,41.1334138,"Mbajumali, Lamu",Success,
CN-90553,OZI DISPENSARY,TANA RIVER,COUNTY GOVERNMENT,LEVEL 2,-0.0381378,39.0698169,Dispensary,Success,
CN-90565,KIMOSON DISPENSARY,KERICHO,COUNTY GOVERNMENT,LEVEL 2,-0.3693063,35.1760372,Dispensary,Success,
CN-90627,EMURUTOTO HEALTH CENTRE,NAROK,COUNTY GOVERNMENT,LEVEL 3B,-1.2209112,34.8155281,Health Centre,Success,
CN-90638,MBULUTINI DISPENSARY-MAKUENI,MAKUENI,COUNTY GOVERNMENT,LEVEL 2,-1.7981322,37.6271041,Dispensary,Success,
CN-90694,MUFU DISPENSARY,EMBU,COUNTY GOVERNMENT,LEVEL 2,-0.7856373,37.3618143,Dispensary,Success,
CN-90738,KAESOGOL ETOM DISPENSARY,TURKANA,COUNTY GOVERNMENT,LEVEL 2,3.18663611,35.4496031,Turkana,Success,
CN-90793,KENYAGORO DISPENSARY,BOMET,COUNTY GOVERNMENT,LEVEL 2,-0.7811634,35.3436058,Dispensary,Success,
